Czas [g:m:s.ss];Cisnienie1 [Pa];Wysokosc1 [m];Akcel1 X [g];Akcel1 Y [g];Akcel1 Z [g];Akcel2 X [g];Akcel2 Y [g];Akcel2 Z [g];Zyro1 X [°/s];Zyro1 Y [°/s];Zyro1 Z [°/s];Zyro2 X [°/s];Zyro2 Y [°/s];Zyro2 Z [°/s];Magn1 X [gaus];Magn1 Y [gaus];Magn1 Z [gaus];Magn2 X [gaus];Magn2 Y [gaus];Magn2 Z [gaus];Magn3 X [gaus];Magn3 Y [gaus];Magn3 Z [gaus];SzerokoscGeo [°];DlugoscGeo [°];WysokoscMSL [m];PredkWzglZiemi; [mKurs [°];Liczba Sat/Fix [-/-];
23:13:54.45;100687.4;56.09;-0.004;0.356;0.931;-0.007;0.374;0.936;-1.831;-1.526;-0.305;-6.714;4.272;4.578;0;0;0;47;12;-219;0;0;0;52.236530;20.934945;121.3;0.12;0.18;6/1;
23:13:54.25;100686.9;56.14;-0.005;0.356;0.931;-0.007;0.374;0.935;-1.831;-1.831;-0.610;-6.409;3.357;4.272;0;0;0;56;16;-215;0;0;0;52.236530;20.934942;121.3;0.14;0.18;6/1;
23:13:54.05;100684.2;56.38;-0.005;0.356;0.931;-0.006;0.374;0.935;-2.747;-1.526;-0.305;-6.714;4.272;4.272;0;0;0;57;22;-215;0;0;0;52.236528;20.934938;121.3;0.15;0.18;6/1;
23:13:55.86;100686.5;56.17;-0.003;0.356;0.931;-0.007;0.374;0.936;-2.747;-1.221;-0.916;-6.104;3.967;4.578;0;0;0;51;19;-214;0;0;0;52.236528;20.934935;121.3;0.16;0.18;6/1;
23:13:55.67;100695.4;55.39;-0.005;0.356;0.930;-0.006;0.374;0.935;-1.831;-1.526;-0.916;-6.409;4.578;4.578;0;0;0;47;20;-214;0;0;0;52.236527;20.934930;121.3;0.18;0.18;6/1;
23:13:55.47;100684.9;56.31;-0.004;0.356;0.930;-0.006;0.374;0.936;-2.441;-1.526;-0.610;-7.019;3.662;4.272;0;0;0;49;15;-216;0;0;0;52.236527;20.934927;121.3;0.20;0.18;6/1;
23:13:55.27;100688.9;55.97;-0.004;0.356;0.931;-0.006;0.374;0.935;-2.136;-1.526;0.000;-5.493;3.662;4.883;0;0;0;50;18;-218;0;0;0;52.236525;20.934923;121.3;0.21;0.18;6/1;
23:13:55.07;100684.6;56.35;-0.005;0.356;0.930;-0.006;0.374;0.935;-2.747;-1.526;-1.221;-7.019;3.967;4.272;0;0;0;50;14;-217;0;0;0;52.236525;20.934922;121.3;0.22;0.18;6/1;
23:13:56.88;100689.4;55.92;-0.004;0.356;0.929;-0.006;0.374;0.936;-2.136;-1.831;-0.916;-7.324;4.578;4.272;0;0;0;46;15;-217;0;0;0;52.236525;20.934922;121.3;0.22;0.18;6/1;
23:13:56.69;100688.7;55.98;-0.005;0.356;0.930;-0.006;0.374;0.934;-2.441;-1.221;-0.916;-6.714;4.578;4.578;0;0;0;49;16;-217;0;0;0;52.236525;20.934922;121.3;0.22;0.18;6/1;
